Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
CA-A CANCER JOURNAL FOR CLINICIANS	CA Cancer J. Clin.	CA Cancer J Clin	"CA Cancer J Clin,223.679"
NEW ENGLAND JOURNAL OF MEDICINE	New Engl. J. Med.	N Engl J Med	"N Engl J Med,70.670"
NATURE REVIEWS DRUG DISCOVERY	#N/A	Nat Rev Drug Discov	"Nat Rev Drug Discov,57.618"
CHEMICAL REVIEWS	Chem. Rev.	Chem Rev	"Chem Rev,54.301"
LANCET	Lancet	Lancet	"Lancet,59.102"
NATURE REVIEWS MOLECULAR CELL BIOLOGY	#N/A	Nat Rev Mol Cell Biol	"Nat Rev Mol Cell Biol,43.351"
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	#N/A	Jama-J Am Med Assn	"Jama-J Am Med Assn,51.273"
NATURE BIOTECHNOLOGY	Nat. Biotechnol.	Nat Biotechnol	"Nat Biotechnol,31.864"
NATURE REVIEWS GENETICS	#N/A	Nat Rev Genet	"Nat Rev Genet,43.704"
NATURE	Nature	Nature	"Nature,43.070"
NATURE REVIEWS IMMUNOLOGY	#N/A	Nat Rev Immunol	"Nat Rev Immunol,44.019"
NATURE MATERIALS	#N/A	Nat Mater	"Nat Mater,38.887"
Nature Nanotechnology	#N/A	Nature Nanotechnology	"Nature Nanotechnology,33.407"
CHEMICAL SOCIETY REVIEWS	Chem. Soc. Rev.	Chem Soc Rev	"Chem Soc Rev,40.443"
Nature Photonics	#N/A	Nature Photonics	"Nature Photonics,31.583"
SCIENCE	Science	Science	"Science,41.037"
NATURE REVIEWS CANCER	#N/A	Nat Rev Cancer	"Nat Rev Cancer,51.848"
REVIEWS OF MODERN PHYSICS	#N/A	Rev Mod Phys	"Rev Mod Phys,38.296"
LANCET ONCOLOGY	Lancet Oncol.	Lancet Oncol	"Lancet Oncol,35.386"
PROGRESS IN MATERIALS SCIENCE	#N/A	Prog Mater Sci	"Prog Mater Sci,23.725"
Annual Review of Astronomy and Astrophysics	#N/A	Annu Rev Astron Astrophys	"Annu Rev Astron Astrophys,33.069"
CELL	Cell	Cell	"Cell,36.216"
NATURE MEDICINE	Nat. Med.	Nat Med	"Nat Med,30.641"
Energy & Environmental Science	Energy Environ. Sci.	Energy Environ Sci	"Energy Environ Sci,33.250"
Living Reviews in Relativity	#N/A	Living Reviews In Relativity	"Living Reviews In Relativity,27.778"
MATERIALS SCIENCE & ENGINEERING R-REPORTS	#N/A	Mat Sci Eng R	"Mat Sci Eng R,22.250"
NATURE REVIEWS NEUROSCIENCE	#N/A	Nat Rev Neurosci	"Nat Rev Neurosci,33.162"
Annual Review of Immunology	Annu. Rev. Immunol.	Annu Rev Immunol	"Annu Rev Immunol,21.429"
NATURE GENETICS	Nat. Genet.	Nat Genet	"Nat Genet,25.455"
CANCER CELL	Cancer Cell	Cancer Cell	"Cancer Cell,23.916"
PHYSIOLOGICAL REVIEWS	Physiol. Rev.	Physiol Rev	"Physiol Rev,24.250"
Annual Review of Pathology-Mechanisms of Disease	#N/A	Annual Review Of Pathology-Mechanisms Of Disease	"Annual Review Of Pathology-Mechanisms Of Disease,13.833"
NATURE REVIEWS MICROBIOLOGY	#N/A	Nat Rev Microbiol	"Nat Rev Microbiol,34.648"
World Psychiatry	#N/A	World Psychiatry	"World Psychiatry,34.024"
World Psychiatry	#N/A	World Psychiatry	"World Psychiatry,34.024"
LANCET NEUROLOGY	Lancet Neurol.	Lancet Neurol	"Lancet Neurol,28.755"
Nature Chemistry	Nat. Chem.	Nat Chem	"Nat Chem,23.193"
PROGRESS IN POLYMER SCIENCE	#N/A	Prog Polym Sci	"Prog Polym Sci,24.505"
NATURE METHODS	Nat. Methods	Nat Methods	"Nat Methods,28.467"
JOURNAL OF CLINICAL ONCOLOGY	J. Clin. Oncol.	J Clin Oncol	"J Clin Oncol,28.245"
Cell Stem Cell	#N/A	Cell Stem Cell	"Cell Stem Cell,21.464"
IMMUNITY	Immunity	Immunity	"Immunity,21.522"
Annual Review of Plant Biology	Annu. Rev. Plant Biol.	Annu Rev Plant Biol	"Annu Rev Plant Biol,18.918"
Nature Physics	#N/A	Nat Physics	"Nat Physics,20.113"
ADVANCES IN PHYSICS	#N/A	Advan Phys	"Advan Phys,26.100"
Materials Today	#N/A	Materials Today	"Materials Today,24.372"
NATURE IMMUNOLOGY	Nat. Immunol.	Nat Immunol	"Nat Immunol,23.530"
British Medical Journal	#N/A	Brit Med J	#N/A
Nature Reviews Clinical Oncology	#N/A	Nature Reviews Clinical Oncology	"Nature Reviews Clinical Oncology,34.106"
ACCOUNTS OF CHEMICAL RESEARCH	Acc. Chem. Res.	Acc Chem Res	"Acc Chem Res,21.661"
Nature Reviews Neurology	#N/A	Nature Reviews Neurology	"Nature Reviews Neurology,21.155"
NATURE CELL BIOLOGY	Nat. Cell Biol.	Nat Cell Biol	"Nat Cell Biol,17.728"
Cancer Discovery	Cancer Discov.	Cancer Discov	"Cancer Discov,26.370"
CLINICAL MICROBIOLOGY REVIEWS	Clin. Microbiol. Rev.	Clin Microbiol Rev	"Clin Microbiol Rev,17.750"
Annual Review of Psychology	Annu. Rev. Psychol.	Annu Rev Psychol	"Annu Rev Psychol,19.755"
Annual Review of Psychology	Annu. Rev. Psychol.	Annu Rev Psychol	"Annu Rev Psychol,19.755"
Annual Review of Biochemistry	Annu. Rev. Biochem.	Annu Rev Biochem	"Annu Rev Biochem,26.922"
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	J. Am. Coll. Cardiol.	J Am Coll Cardiol	"J Am Coll Cardiol,18.639"
LANCET INFECTIOUS DISEASES	Lancet Infect. Dis.	Lancet Infect Dis	"Lancet Infect Dis,27.516"
ADVANCED MATERIALS	#N/A	Advan Mater	"Advan Mater,25.809"
Lancet Diabetes & Endocrinology	#N/A	Lancet Diabetes & Endocrinology	"Lancet Diabetes & Endocrinology,24.540"
EUROPEAN HEART JOURNAL	Eur. Heart J.	Eur Heart J	"Eur Heart J,23.239"
CIRCULATION	Circulation	Circulation	"Circulation,23.054"
Nature Climate Change	#N/A	Nature Climate Change	"Nature Climate Change,21.722"
Nature Climate Change	#N/A	Nature Climate Change	"Nature Climate Change,21.722"
Lancet Respiratory Medicine	#N/A	Lancet Respiratory Medicine	"Lancet Respiratory Medicine,22.992"
Annual Review of Condensed Matter Physics	#N/A	Annual Review Of Condensed Matter Physics	"Annual Review Of Condensed Matter Physics,15.588"
GASTROENTEROLOGY	Gastroenterology	Gastroenterology	"Gastroenterology,19.233"
Nature Reviews Endocrinology	#N/A	Nature Reviews Endocrinology	"Nature Reviews Endocrinology,24.646"
Cell Metabolism	Cell Metab.	Cell Metab	"Cell Metab,22.415"
PHARMACOLOGICAL REVIEWS	Pharmacol. Rev.	Pharmacol Rev	"Pharmacol Rev,18.886"
NATURE NEUROSCIENCE	Nat. Neurosci.	Nat Neurosci	"Nat Neurosci,21.126"
Advances in Optics and Photonics	#N/A	Advances In Optics And Photonics	"Advances In Optics And Photonics,13.963"
Lancet Global Health	#N/A	Lancet Global Health	"Lancet Global Health,15.873"
Lancet Global Health	#N/A	Lancet Global Health	"Lancet Global Health,15.873"
Nano Today	#N/A	Nano Today	"Nano Today,16.582"
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	#N/A	Phys Rep-Rev Sect Phys Lett	"Phys Rep-Rev Sect Phys Lett,28.295"
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	#N/A	Prog Energ Combust Sci	"Prog Energ Combust Sci,26.467"
IEEE Communications Surveys and Tutorials	#N/A	Ieee Communications Surveys And Tutorials	"Ieee Communications Surveys And Tutorials,22.973"
ANNALS OF INTERNAL MEDICINE	Ann. Intern. Med.	Ann Intern Med	"Ann Intern Med,19.315"
Science Translational Medicine	Sci. Transl. Med.	Sci Transl Med	"Sci Transl Med,17.161"
PSYCHOLOGICAL BULLETIN	Psychol. Bull.	Psychol Bull	"Psychol Bull,16.405"
PSYCHOLOGICAL BULLETIN	Psychol. Bull.	Psychol Bull	"Psychol Bull,16.405"
Advanced Energy Materials	#N/A	Advanced Energy Materials	"Advanced Energy Materials,24.884"
GUT	Gut	Gut	"Gut,17.943"
TRENDS IN BIOCHEMICAL SCIENCES	Trends Biochem. Sci.	Trends Biochem Sci	"Trends Biochem Sci,16.889"
JAMA Oncology	#N/A	Jama Oncology	"Jama Oncology,22.416"
JAMA Internal Medicine	#N/A	Jama Internal Medicine	"Jama Internal Medicine,20.768"
PSYCHOLOGICAL INQUIRY	Psychol. Inq.	Psychol Inq	"Psychol Inq,10.273"
EUROPEAN UROLOGY	Eur. Urol.	Eur Urol	"Eur Urol,17.298"
ENDOCRINE REVIEWS	Endocr. Rev.	Endocr Rev	"Endocr Rev,15.167"
Annual Review of Neuroscience	Annu. Rev. Neurosci.	Annu Rev Neurosci	"Annu Rev Neurosci,12.043"
CELL RESEARCH	Cell Res.	Cell Res	"Cell Res,17.848"
TRENDS IN COGNITIVE SCIENCES	Trends Cogn. Sci.	Trends Cogn Sci	"Trends Cogn Sci,16.173"
TRENDS IN COGNITIVE SCIENCES	Trends Cogn. Sci.	Trends Cogn Sci	"Trends Cogn Sci,16.173"
TRENDS IN CELL BIOLOGY	Trends Cell Biol.	Trends Cell Biol	"Trends Cell Biol,16.588"
JAMA Psychiatry	#N/A	Jama Psychiatry	"Jama Psychiatry,15.916"
JAMA Psychiatry	#N/A	Jama Psychiatry	"Jama Psychiatry,15.916"
TRENDS IN ECOLOGY & EVOLUTION	Trends Ecol. Evol.	Trends Ecol Evol	"Trends Ecol Evol,15.236"
Nature Chemical Biology	Nat. Chem. Biol.	Nat Chem Biol	"Nat Chem Biol,12.154"
Cell Host & Microbe	#N/A	Cell Host & Microbe	"Cell Host & Microbe,15.753"
Annual Review of Cell and Developmental Biology	Annu. Rev. Cell. Dev. Biol.	Annu Rev Cell Dev Biol	"Annu Rev Cell Dev Biol,10.833"
JOURNAL OF MANAGED CARE PHARMACY	J. Manag. Care Pharm.	J Manag Care Pharm	#N/A
Annual Review of Physical Chemistry	Annu. Rev. Phys. Chem.	Annu Rev Phys Chem	"Annu Rev Phys Chem,11.982"
MOLECULAR CELL	Mol. Cell	Mol Cell	"Mol Cell,14.548"
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	Microbiol. Mol. Biol. Rev.	Microbiol Mol Biol Rev	"Microbiol Mol Biol Rev,15.255"
REPORTS ON PROGRESS IN PHYSICS	#N/A	Rep Progr Phys	"Rep Progr Phys,16.620"
Nature Reviews Cardiology	#N/A	Nature Reviews Cardiology	"Nature Reviews Cardiology,17.420"
BEHAVIORAL AND BRAIN SCIENCES	Behav. Brain Sci.	Behav Brain Sci	"Behav Brain Sci,17.194"
BEHAVIORAL AND BRAIN SCIENCES	Behav. Brain Sci.	Behav Brain Sci	"Behav Brain Sci,17.194"
AMERICAN JOURNAL OF PSYCHIATRY	Am. J. Psychiatry	Am J Psychiatry	"Am J Psychiatry,13.655"
